date,cams_no2_umol_m2
2019-01-01,53.15654
2019-01-02,63.0206
2019-01-03,69.70102
2019-01-04,62.73357
2019-01-05,54.051342
2019-01-06,65.539604
2019-01-07,54.266502
2019-01-08,63.74977
2019-01-09,62.61091
2019-01-10,55.455307
2019-01-11,69.680336
2019-01-12,67.605125
2019-01-13,64.58848
2019-01-14,67.35141
2019-01-15,56.76243
2019-01-16,45.344173
2019-01-17,51.786827
2019-01-18,47.49167
2019-01-19,65.478546
2019-01-20,71.19607
2019-01-21,78.45323
2019-01-22,62.00539
2019-01-23,62.22748
2019-01-24,55.85321
2019-01-25,57.215103
2019-01-26,51.614864
2019-01-27,56.013702
2019-01-28,62.510387
2019-01-29,51.96777
2019-01-30,55.377308
2019-01-31,54.369923
2019-02-01,67.95827
2019-02-02,49.0367
2019-02-03,46.522156
2019-02-04,58.59659
2019-02-05,60.542336
2019-02-06,53.783184
2019-02-07,79.29159
2019-02-08,59.29874
2019-02-09,49.26726
2019-02-10,46.720234
2019-02-11,47.691208
2019-02-12,47.52645
2019-02-13,54.19884
2019-02-14,56.83087
2019-02-15,51.83066
2019-02-16,40.55285
2019-02-17,39.12399
2019-02-18,37.31655
2019-02-19,39.93692
2019-02-20,49.16233
2019-02-21,47.956676
2019-02-22,46.56212
2019-02-23,41.68844
2019-02-24,46.21327
2019-02-25,41.62561
2019-02-26,42.163784
2019-02-27,56.355476
2019-02-28,52.013397
2019-03-01,41.974148
2019-03-02,48.029263
2019-03-03,48.241066
2019-03-04,48.272423
2019-03-05,43.369995
2019-03-06,38.78842
2019-03-07,57.08642
2019-03-08,46.816875
2019-03-09,45.073658
2019-03-10,48.557365
2019-03-11,45.722164
2019-03-12,38.50988
2019-03-13,44.443188
2019-03-14,43.982277
2019-03-15,49.215416
2019-03-16,53.676853
2019-03-17,57.512447
2019-03-18,47.2782
2019-03-19,41.452595
2019-03-20,41.814228
2019-03-21,40.856533
2019-03-22,40.46494
2019-03-23,44.474785
2019-03-24,55.68308
2019-03-25,65.19828
2019-03-26,49.68704
2019-03-27,51.16494
2019-03-28,49.694576
2019-03-29,56.091206
2019-03-30,50.5153
2019-03-31,60.70635
2019-04-01,55.37306
2019-04-02,60.28601
2019-04-03,51.96131
2019-04-04,50.789906
2019-04-05,49.62975
2019-04-06,53.46238
2019-04-07,45.458683
2019-04-08,45.012566
2019-04-09,43.47628
2019-04-10,56.284424
2019-04-11,45.401276
2019-04-12,43.835236
2019-04-13,41.793114
2019-04-14,43.48634
2019-04-15,41.22559
2019-04-16,48.51663
2019-04-17,67.06034
2019-04-18,56.139137
2019-04-19,51.420532
2019-04-20,51.937977
2019-04-21,48.841175
2019-04-22,43.41594
2019-04-23,39.99989
2019-04-24,40.085228
2019-04-25,35.581646
2019-04-26,37.92834
2019-04-27,40.855606
2019-04-28,45.409447
2019-04-29,48.106033
2019-04-30,43.981026
2019-05-01,42.57293
2019-05-02,49.31095
2019-05-03,47.16905
2019-05-04,59.6327
2019-05-05,43.046387
2019-05-06,41.019615
2019-05-07,38.092117
2019-05-08,40.520508
2019-05-09,40.19443
2019-05-10,47.75075
2019-05-11,42.423847
2019-05-12,44.97514
2019-05-13,45.512463
2019-05-14,40.31343
2019-05-15,41.9094
2019-05-16,41.544228
2019-05-17,41.17033
2019-05-18,40.268814
2019-05-19,37.237637
2019-05-20,44.86372
2019-05-21,50.817303
2019-05-22,39.943302
2019-05-23,42.240616
2019-05-24,43.24358
2019-05-25,46.152565
2019-05-26,52.310005
2019-05-27,47.293777
2019-05-28,43.19979
2019-05-29,39.840958
2019-05-30,36.576637
2019-05-31,37.47999
2019-06-01,46.95387
2019-06-02,47.968464
2019-06-03,40.08903
2019-06-04,47.756737
2019-06-05,44.582027
2019-06-06,45.167343
2019-06-07,48.805862
2019-06-08,46.776665
2019-06-09,40.42171
2019-06-10,36.493114
2019-06-11,40.726353
2019-06-12,43.202892
2019-06-13,47.4059
2019-06-14,42.466286
2019-06-15,42.95155
2019-06-16,45.091232
2019-06-17,47.61852
2019-06-18,46.2327
2019-06-19,46.096283
2019-06-20,50.21548
2019-06-21,45.151463
2019-06-22,50.092896
2019-06-23,49.37611
2019-06-24,50.419113
2019-06-25,49.87181
2019-06-26,48.56966
