date,blh,wind_u10,wind_v10,temp_2m,surface_pressure,precip,wind_speed,precip_log1p,blh_log
2019-01-01,133.29413,-0.9119523,-0.30386925,268.07126,84985.664,0.00024271011,0.96124583,0.00024268066,4.892558
2019-01-02,124.73789,-1.1109232,-0.30859375,268.70508,84779.695,8.2969666e-05,1.1529876,8.2966224e-05,4.826215
2019-01-03,97.34824,-0.6777509,-0.56540614,268.7084,84559.88,9.536743e-07,0.88262695,9.5367386e-07,4.5782948
2019-01-04,132.3576,-1.7410812,-0.040100098,271.62674,85032.49,0.00023317337,1.741543,0.00023314619,4.8855076
2019-01-05,151.72395,-1.4433416,-0.18281491,272.7794,84676.38,7.43866e-05,1.4548733,7.438383e-05,5.022063
2019-01-06,163.33524,-1.1936964,-0.23900287,271.57547,83810.11,0.00049448013,1.2173879,0.0004943579,5.0958047
2019-01-07,139.79005,-0.839927,0.24387805,272.09543,84007.555,0.0041332245,0.87461644,0.004124706,4.9401417
2019-01-08,322.67175,-2.0706444,0.5436204,272.13956,84175.125,0.001455307,2.1408155,0.001454249,5.7766356
2019-01-09,284.43353,-0.5157426,0.53750867,270.43295,83905.89,0.0030155182,0.74492013,0.0030109806,5.6505
2019-01-10,127.89313,-0.5548375,-0.6471259,265.17368,85073.78,9.536743e-07,0.8524181,9.5367386e-07,4.851195
2019-01-11,78.92071,-0.547781,-0.70413464,265.62375,85154.375,0.0,0.89211524,0.0,4.3684435
2019-01-12,88.84663,-0.74044865,-0.6727187,266.3396,84603.21,0.0,1.0004072,0.0,4.486912
2019-01-13,99.92959,-0.65121585,-0.5910657,267.6163,83969.4,0.0016098022,0.8794548,0.0016085079,4.604466
2019-01-14,101.74926,-0.9058005,-0.49197006,268.00598,83886.73,0.00029993057,1.0307808,0.0002998856,4.6225114
2019-01-15,163.73793,-1.4987837,0.39539275,271.93808,84270.62,0.00069475174,1.5500606,0.0006945105,5.098267
2019-01-16,200.89648,-1.7080008,0.12591743,274.03958,83817.54,0.00046300888,1.712636,0.00046290172,5.3027897
2019-01-17,142.25154,0.21773593,-1.038217,270.2856,83561.28,0.0025177002,1.0608032,0.002514536,4.957597
2019-01-18,131.70123,0.10764313,-0.6905511,266.17172,84586.305,0.0002169609,0.69889045,0.00021693738,4.880536
2019-01-19,101.04013,-0.29327965,-0.6280346,264.94177,84792.9,0.0,0.69313806,0.0,4.6155176
2019-01-20,91.61306,-0.57150966,-0.6274357,264.7232,85018.78,0.0,0.8487042,0.0,4.517574
2019-01-21,96.015015,-0.62522954,-0.5475178,265.11145,84919.37,0.0,0.8310762,0.0,4.5645046
2019-01-22,105.655846,-0.49560472,-0.56053925,265.9332,84669.07,0.0,0.74821675,0.0,4.6601872
2019-01-23,116.22449,-0.7245777,-0.45144334,266.86157,84823.21,4.7683716e-07,0.853706,4.7683704e-07,4.7555237
2019-01-24,119.50234,-0.98618,-0.33140945,269.3906,84745.16,5.722046e-06,1.0403764,5.7220295e-06,4.783336
2019-01-25,87.160675,-0.7775402,-0.41088167,270.8209,84555.055,0.00068330765,0.87942743,0.0006830743,4.4677534
2019-01-26,154.70123,-1.0140864,-0.2051131,271.73184,84635.19,5.38826e-05,1.034622,5.3881147e-05,5.041496
2019-01-27,162.1115,-1.2855848,-0.15395737,274.72702,84289.96,0.00017499924,1.2947707,0.00017498393,5.0882845
2019-01-28,110.03387,-0.3961544,-0.98657227,275.30606,83932.68,0.0027928352,1.0631384,0.0027889425,4.700788
2019-01-29,243.56795,0.025068283,-0.7357362,274.58246,84327.26,0.005097389,0.73616314,0.0050844415,5.495396
2019-01-30,135.99156,-0.79256886,-0.22552872,271.58582,84839.15,4.7683716e-07,0.82403195,4.7683704e-07,4.912593
2019-01-31,165.30075,-0.7817109,0.010103226,270.965,84633.22,4.6253204e-05,0.7817762,4.6252135e-05,5.1077666
2019-02-01,175.3585,-1.0362371,0.09869131,272.31943,84491.336,0.00094509125,1.0409262,0.0009446449,5.1668324
2019-02-02,137.78322,0.061625797,-0.7016525,272.65884,84480.73,0.0069937706,0.70435363,0.0069694277,4.9256816
2019-02-03,157.54893,-0.026337942,-0.7895546,269.69626,85022.055,0.0012927055,0.78999376,0.0012918707,5.0597363
2019-02-04,110.497826,-0.48695883,-0.85468036,267.99466,85559.125,0.0,0.9836704,0.0,4.7049956
2019-02-05,85.72839,-0.63740283,-0.76625377,268.60925,85747.586,0.0,0.9967082,0.0,4.4511843
2019-02-06,83.276726,-0.7239297,-0.7241936,269.6481,85471.29,0.0,1.0239779,0.0,4.422169
2019-02-07,83.60095,-0.7138112,-0.45336023,271.73526,84947.54,0.00033950806,0.8456133,0.00033945043,4.426055
2019-02-08,112.07495,-0.6479766,-0.47153726,273.10226,84664.47,0.0023245811,0.80138695,0.0023218836,4.7191677
2019-02-09,138.22653,-0.23166275,-0.0533638,272.74295,84436.18,0.000518322,0.23772952,0.0005181877,4.928894
2019-02-10,147.68379,-0.44664764,-0.33455276,271.6797,84516.28,0.00037574768,0.55804986,0.0003756771,4.9950733
2019-02-11,165.49089,-0.4211254,-0.7630679,270.8716,84567.68,0.0023593903,0.87156135,0.0023566112,5.1089163
