date,no2_mean,no2_pixel_count,no2_umol
2019-01-01,7.292139884120274e-05,0.0,
2019-01-02,7.219205883783154e-05,18.0,72.19205883783154
2019-01-03,0.0001098813935401792,0.0,
2019-01-04,9.43162675848525e-05,0.0,
2019-01-05,7.492036630204971e-05,3.0,
2019-01-06,0.00010058488417269013,7.0,
2019-01-07,6.324419300266908e-05,18.0,63.244193002669086
2019-01-08,9.658643543619021e-05,6.0,
2019-01-09,9.404224791486127e-05,0.0,
2019-01-10,9.160846105444096e-05,40.0,91.60846105444095
2019-01-11,0.0002367297672313,39.0,236.7297672313
2019-01-12,0.0001597242344075,11.0,159.7242344075
2019-01-13,9.84600946357528e-05,0.0,
2019-01-14,0.0001046324178610003,4.0,
2019-01-15,8.097687567003582e-05,0.0,
2019-01-16,3.3095057838743595e-05,29.0,33.09505783874359
2019-01-17,6.986149093118568e-05,0.0,
2019-01-18,0.000127494955238,46.0,127.494955238
2019-01-19,0.00010044848197955198,0.0,
2019-01-20,0.0001132213014777333,4.0,
2019-01-21,0.00012943363303059106,0.0,
2019-01-22,9.26895299092108e-05,0.0,
2019-01-23,9.1117545439695e-05,24.0,91.117545439695
2019-01-24,7.894569872278796e-05,0.0,
2019-01-25,8.198813692940269e-05,0.0,
2019-01-26,6.947732947259524e-05,0.0,
2019-01-27,7.930423422642592e-05,0.0,
2019-01-28,9.381768180295415e-05,0.0,
2019-01-29,6.556580780523201e-05,12.0,65.56580780523201
2019-01-30,7.788254440199744e-05,0.0,
2019-02-01,0.00010598812939638978,8.0,
2019-02-02,6.371776931881032e-05,0.0,
2019-02-03,7.109626048514924e-05,48.0,71.09626048514923
2019-02-04,8.507434768952961e-05,0.0,
2019-02-05,8.942110031309679e-05,0.0,
2019-02-06,7.432130738581372e-05,5.0,
2019-02-07,0.0001313065103380576,0.0,
2019-02-08,8.664293493300215e-05,0.0,
2019-02-09,6.42328351521152e-05,0.0,
2019-02-10,5.854283658714638e-05,0.0,
2019-02-11,6.071197057581475e-05,0.0,
2019-02-12,6.0343904924515084e-05,5.0,
2019-02-13,9.996345734103564e-05,10.0,99.96345734103564
2019-02-14,8.112976908446758e-05,4.0,
2019-02-15,6.99594128633129e-05,5.0,
2019-02-16,7.814992504074004e-05,11.0,78.14992504074004
2019-02-17,4.157299903576175e-05,0.0,
2019-02-18,3.5426470338276934e-05,14.0,35.426470338276935
2019-02-19,3.331485728706285e-05,29.0,33.31485728706285
2019-02-20,6.399842390173055e-05,2.0,
2019-02-21,6.130502009279853e-05,0.0,
2019-02-22,5.8189613481806474e-05,0.0,
2019-02-23,4.7301922423247506e-05,0.0,
2019-02-24,0.0,16.0,0.0
2019-02-25,4.385998134936969e-05,21.0,43.85998134936969
2019-02-26,4.836383018463924e-05,0.0,
2019-02-27,8.0067749624205e-05,1.0,
2019-03-01,0.0,10.0,0.0
2019-03-02,6.146717781157933e-05,0.0,
2019-03-03,6.194034093047017e-05,0.0,
2019-03-04,6.201039176034068e-05,4.0,
2019-03-05,5.105847831899264e-05,7.0,
2019-03-06,5.163347650302595e-05,34.0,51.63347650302595
2019-03-07,8.170066201342777e-05,0.0,
2019-03-08,5.875873039872002e-05,9.0,
2019-03-09,4.374298249684032e-05,19.0,43.74298249684032
2019-03-10,6.26469457535466e-05,0.0,
2019-03-11,7.422382132997462e-05,18.0,74.22382132997463
2019-03-12,4.020109116409772e-05,8.0,
2019-03-13,5.345596724526766e-05,0.0,
2019-03-14,5.2426302479938086e-05,0.0,
2019-03-15,6.411701682689895e-05,0.0,
2019-03-16,7.408376633306762e-05,0.0,
2019-03-17,8.26523967105365e-05,0.0,
2019-03-18,5.978932003070031e-05,0.0,
2019-03-19,4.677505001929284e-05,0.0,
2019-03-20,4.758292997459968e-05,0.0,
2019-03-21,4.5443460972054024e-05,7.0,
2019-03-22,3.548543685654356e-05,20.0,35.48543685654356
2019-03-23,5.3526554229718274e-05,1.0,
2019-03-24,7.856563214480322e-05,0.0,
2019-03-25,9.982237406474877e-05,0.0,
2019-03-26,5.544828572347476e-05,12.0,55.44828572347476
2019-03-27,6.847220941714823e-05,2.0,
2019-03-28,6.518744944611463e-05,0.0,
2019-03-29,7.947737641216699e-05,0.0,
2019-03-30,6.702092832785181e-05,0.0,
2019-04-01,7.787305446592928e-05,0.0,
2019-04-02,8.884847381766085e-05,0.0,
2019-04-03,7.025128201286739e-05,0.0,
2019-04-04,1.922949902328157e-05,23.0,19.229499023281573
2019-04-05,4.093620098515647e-05,45.0,40.936200985156475
2019-04-06,7.36046384944729e-05,0.0,
2019-04-07,2.3043782758458097e-05,17.0,23.043782758458097
2019-04-08,3.399384421493691e-05,20.0,33.99384421493691
2019-04-09,5.129591660877756e-05,8.0,
2019-04-10,7.990902106075956e-05,0.0,
2019-04-11,2.358079709883709e-05,14.0,23.580797098837092
2019-04-12,5.086841718519413e-05,43.0,50.868417185194126
2019-04-13,5.095844789787622e-05,21.0,50.95844789787622
2019-04-14,5.131839042159437e-05,0.0,
2019-04-15,4.6267925975706007e-05,0.0,
2019-04-16,6.255594468345782e-05,0.0,
2019-04-17,0.00010398217405418188,6.0,
2019-04-18,4.407714633398124e-05,41.0,44.07714633398124
2019-04-19,6.904319617315996e-05,0.0,
2019-04-20,7.019915661779234e-05,0.0,
2019-04-21,1.6951025494237158e-05,10.0,16.951025494237157
2019-04-22,5.116111841142495e-05,0.0,
2019-04-23,4.352973985546922e-05,0.0,
2019-04-24,2.9926347574185343e-05,30.0,29.926347574185343
2019-04-25,4.550029988019486e-05,32.0,45.50029988019486
