date,solar_rad
2018-01-01,6.847488e+06
2018-01-02,3.961408e+06
2018-01-03,9.5088e+06
2018-01-04,9.074048e+06
2018-01-05,7.199488e+06
2018-01-06,9.102784e+06
2018-01-07,9.620736e+06
2018-01-08,9.663808e+06
2018-01-09,9.611712e+06
2018-01-10,9.95584e+06
2018-01-11,9.138688e+06
2018-01-12,9.675968e+06
2018-01-13,8.479808e+06
2018-01-14,5.375872e+06
2018-01-15,7.116928e+06
2018-01-16,8.448192e+06
2018-01-17,8.515968e+06
2018-01-18,3.959104e+06
2018-01-19,8.691648e+06
2018-01-20,8.78592e+06
2018-01-21,9.914944e+06
2018-01-22,9.014464e+06
2018-01-23,1.076288e+07
2018-01-24,9.083392e+06
2018-01-25,5.545728e+06
2018-01-26,7.00992e+06
2018-01-27,6.743936e+06
2018-01-28,1.1961024e+07
2018-01-29,1.186336e+07
2018-01-30,1.0415744e+07
2018-01-31,1.1888384e+07
2018-02-01,1.2556032e+07
2018-02-02,1.3455232e+07
2018-02-03,1.2816896e+07
2018-02-04,8.604288e+06
2018-02-05,1.2989376e+07
2018-02-06,1.3034752e+07
2018-02-07,1.329184e+07
2018-02-08,1.363936e+07
2018-02-09,1.2389312e+07
2018-02-10,1.4474368e+07
2018-02-11,1.0024832e+07
2018-02-12,1.1245312e+07
2018-02-13,1.2350912e+07
2018-02-14,1.3273088e+07
2018-02-15,1.4275968e+07
2018-02-16,1.502976e+07
2018-02-17,1.468608e+07
2018-02-18,3.560768e+06
2018-02-19,8.859712e+06
2018-02-20,1.4897408e+07
2018-02-21,1.3891648e+07
2018-02-22,1.3007744e+07
2018-02-23,1.4446016e+07
2018-02-24,1.4639616e+07
2018-02-25,1.61136e+07
2018-02-26,1.2568256e+07
2018-02-27,1.33392e+07
2018-02-28,1.6230208e+07
2018-03-01,1.3729152e+07
2018-03-02,1.504e+07
2018-03-03,1.5399616e+07
2018-03-04,1.2173632e+07
2018-03-05,1.492128e+07
2018-03-06,1.4141248e+07
2018-03-07,1.4365824e+07
2018-03-08,1.4559552e+07
2018-03-09,8.881536e+06
2018-03-10,1.9477632e+07
2018-03-11,1.6705344e+07
2018-03-12,1.6388864e+07
2018-03-13,1.9706304e+07
2018-03-14,1.4895168e+07
2018-03-15,1.579424e+07
2018-03-16,1.6361088e+07
2018-03-17,1.4675776e+07
2018-03-18,2.091008e+07
2018-03-19,2.039904e+07
2018-03-20,2.018464e+07
2018-03-21,1.7534336e+07
2018-03-22,2.0929344e+07
2018-03-23,1.521952e+07
2018-03-24,1.9241408e+07
2018-03-25,1.9886976e+07
2018-03-26,1.9784128e+07
2018-03-27,1.9549568e+07
2018-03-28,2.1199808e+07
2018-03-29,1.6465024e+07
2018-03-30,1.2812672e+07
2018-03-31,1.7229952e+07
2018-04-01,2.319968e+07
2018-04-02,2.3839104e+07
2018-04-03,1.6979904e+07
2018-04-04,2.303712e+07
2018-04-05,2.4907456e+07
2018-04-06,2.4666176e+07
2018-04-07,2.4648128e+07
2018-04-08,2.3604352e+07
2018-04-09,2.2441152e+07
2018-04-10,2.514016e+07
2018-04-11,2.1782208e+07
2018-04-12,2.4252416e+07
2018-04-13,1.216544e+07
2018-04-14,1.5440448e+07
2018-04-15,2.0645632e+07
2018-04-16,2.666656e+07
2018-04-17,2.469376e+07
2018-04-18,2.5027904e+07
2018-04-19,2.3269504e+07
2018-04-20,1.8688768e+07
2018-04-21,9.466112e+06
2018-04-22,2.3515072e+07
2018-04-23,2.4355136e+07
2018-04-24,2.3729728e+07
2018-04-25,2.7207232e+07
2018-04-26,2.5978752e+07
2018-04-27,2.051168e+07
2018-04-28,1.862432e+07
2018-04-29,1.7491328e+07
2018-04-30,1.9027456e+07
2018-05-01,2.6933248e+07
2018-05-02,2.5897408e+07
2018-05-03,2.5077632e+07
2018-05-04,2.1850688e+07
2018-05-05,2.1485696e+07
2018-05-06,1.8915328e+07
2018-05-07,2.7113088e+07
2018-05-08,1.6988544e+07
2018-05-09,2.2358016e+07
2018-05-10,2.0657664e+07
2018-05-11,2.1042368e+07
2018-05-12,1.2818432e+07
2018-05-13,1.7600896e+07
2018-05-14,2.0062016e+07
2018-05-15,2.0873408e+07
2018-05-16,2.60272e+07
2018-05-17,2.3079936e+07
2018-05-18,2.2820608e+07
2018-05-19,2.4745408e+07
2018-05-20,2.0660224e+07
2018-05-21,2.3745152e+07
2018-05-22,2.2888256e+07
2018-05-23,2.1629056e+07
2018-05-24,2.4427328e+07
2018-05-25,2.1760448e+07
2018-05-26,2.5768576e+07
2018-05-27,2.8668224e+07
2018-05-28,2.8303872e+07
2018-05-29,1.4300416e+07
